mar_id,mod_mrc_id,model,trim,body,mod_trm_id
5091,1,Astro,Base,Minivan,1
5092,1,Astro,Base,minivan,1
5093,1,Astro,LS,minivan,1
5094,1,Astro Cargo,Base,Minivan,1
5095,1,Astro Cargo,Base,minivan,1
5096,1,Avalanche,1500,Crew Cab,1
5097,1,Avalanche,1500,crew cab,1
5098,1,Avalanche,1500 LS,Crew Cab,1
5099,1,Avalanche,1500 LS,crew cab,1
5100,1,Avalanche,2500,Crew Cab,1
5101,1,Avalanche,LS,Crew Cab,1
5102,1,Avalanche,LS,crew cab,1
5103,1,Avalanche,LT,Crew Cab,1
5104,1,Avalanche,LT,crew cab,1
5105,1,Avalanche,LT1,crew cab,1
5106,1,Avalanche,LTZ,Crew Cab,1
5107,1,Avalanche,LTZ,crew cab,1
5108,1,Aveo,1LT,Sedan,1
5109,1,Aveo,1LT,sedan,1
5110,1,Aveo,2LT,Sedan,1
5111,1,Aveo,2LT,sedan,1
5112,1,Aveo,Aveo5 1LT,Hatchback,1
5113,1,Aveo,Aveo5 1LT,hatchback,1
5114,1,Aveo,Aveo5 1LT,hatchback,2
5115,1,Aveo,Aveo5 2LT,Hatchback,1
5116,1,Aveo,Aveo5 2LT,Hatchback,2
5117,1,Aveo,Aveo5 2LT,hatchback,1
5118,1,Aveo,Aveo5 LS,Hatchback,1
5119,1,Aveo,Aveo5 LS,Hatchback,2
5120,1,Aveo,Aveo5 LS,hatchback,1
5121,1,Aveo,Aveo5 LS,hatchback,2
5122,1,Aveo,Aveo5 Special Value,Hatchback,1
5123,1,Aveo,Aveo5 Special Value,hatchback,1
5124,1,Aveo,Aveo5 Special Value,hatchback,2
5125,1,Aveo,Base,Sedan,1
5126,1,Aveo,Base,sedan,1
5127,1,Aveo,LS,Sedan,1
5128,1,Aveo,LS,Sedan,2
5129,1,Aveo,LS,hatchback,1
5130,1,Aveo,LS,hatchback,2
5131,1,Aveo,LS,sedan,1
5132,1,Aveo,LS,sedan,2
5133,1,Aveo,LT,Hatchback,1
5134,1,Aveo,LT,Sedan,1
5135,1,Aveo,LT,hatchback,1
5136,1,Aveo,LT,sedan,1
5137,1,Black Diamond Avalanche,LT,crew cab,1
5138,1,Black Diamond Avalanche,LTZ,Crew Cab,1
5139,1,Black Diamond Avalanche,LTZ,crew cab,1
5140,1,Blazer,Base,SUV,1
5141,1,Blazer,Base,suv,1
5142,1,Blazer,LS,SUV,1
5143,1,Blazer,LS,suv,1
5144,1,Blazer,LT,SUV,1
5145,1,Blazer,LT,suv,1
5146,1,Blazer,TrailBlazer,suv,1
5147,1,Blazer,Trailblazer,suv,1
5148,1,C/K 1500 Series,Base,Regular Cab,2
5149,1,C/K 1500 Series,Silverado,Regular Cab,1
5150,1,C/K 1500 Series,Silverado,regular cab,2
5151,1,C/K 3500 Series,LS,crew cab,1
5152,1,Camaro,1LT,Coupe,1
5153,1,Camaro,1LT,Coupe,2
5154,1,Camaro,1LT,convertible,1
5155,1,Camaro,1LT,coupe,1
5156,1,Camaro,1LT,coupe,2
5157,1,Camaro,1SS,Coupe,1
5158,1,Camaro,1SS,Coupe,2
5159,1,Camaro,1SS,coupe,1
5160,1,Camaro,1SS,coupe,2
5161,1,Camaro,2LT,Convertible,1
5162,1,Camaro,2LT,Coupe,1
5163,1,Camaro,2LT,Coupe,2
5164,1,Camaro,2LT,convertible,1
5165,1,Camaro,2LT,coupe,1
5166,1,Camaro,2LT,coupe,2
5167,1,Camaro,2SS,Convertible,1
5168,1,Camaro,2SS,Convertible,2
5169,1,Camaro,2SS,Coupe,1
5170,1,Camaro,2SS,Coupe,2
5171,1,Camaro,2SS,convertible,1
5172,1,Camaro,2SS,coupe,1
5173,1,Camaro,2SS,coupe,2
5174,1,Camaro,Base,Convertible,1
5175,1,Camaro,Base,Hatchback,2
5176,1,Camaro,Base,hatchback,1
5177,1,Camaro,Base,hatchback,2
5178,1,Camaro,LS,Coupe,1
5179,1,Camaro,LS,Coupe,2
5180,1,Camaro,LS,coupe,1
5181,1,Camaro,LS,coupe,2
5182,1,Camaro,LT,Convertible,1
5183,1,Camaro,LT,Convertible,2
5184,1,Camaro,LT,Coupe,1
5185,1,Camaro,LT,Coupe,2
5186,1,Camaro,LT,convertible,1
5187,1,Camaro,LT,coupe,1
5188,1,Camaro,LT,coupe,2
5189,1,Camaro,SS,Convertible,1
5190,1,Camaro,SS,Convertible,2
5191,1,Camaro,SS,Coupe,1
5192,1,Camaro,SS,Coupe,2
5193,1,Camaro,SS,convertible,1
5194,1,Camaro,SS,coupe,1
5195,1,Camaro,SS,coupe,2
5196,1,Camaro,Z/28,Coupe,2
5197,1,Camaro,Z/28,coupe,2
5198,1,Camaro,ZL1,Coupe,2
5199,1,Camaro,ZL1,coupe,1
5200,1,Camaro,ZL1,coupe,2
5201,1,Caprice,Classic,Sedan,1
5202,1,Caprice,Classic,sedan,1
5203,1,Captiva Sport,1LS Fleet,SUV,1
5204,1,Captiva Sport,1LS Fleet,suv,1
5205,1,Captiva Sport,1LT Fleet,SUV,1
5206,1,Captiva Sport,1LT Fleet,suv,1
5207,1,Captiva Sport,2LS Fleet,SUV,1
5208,1,Captiva Sport,2LS Fleet,suv,1
5209,1,Captiva Sport,LS Fleet,SUV,1
5210,1,Captiva Sport,LS Fleet,suv,1
5211,1,Captiva Sport,LT Fleet,SUV,1
5212,1,Captiva Sport,LT Fleet,suv,1
5213,1,Captiva Sport,LTZ Fleet,SUV,1
5214,1,Captiva Sport,LTZ Fleet,suv,1
5215,1,Cavalier,Base,Coupe,1
5216,1,Cavalier,Base,Coupe,2
5217,1,Cavalier,Base,Sedan,1
5218,1,Cavalier,Base,coupe,1
5219,1,Cavalier,Base,coupe,2
