mod_id,mod_mrc_id,model,trim,body,mod_trm_id
1,1,Sorento,LX,SUV,1
2,2,3 Series,328i SULEV,Sedan,1
3,3,S60,T5,Sedan,1
4,2,6 Series Gran Coupe,650i,Sedan,1
5,4,Altima,2.5 S,Sedan,1
6,2,M5,Base,Sedan,1
7,5,Cruze,1LT,Sedan,1
8,6,A4,2.0T Premium Plus quattro,Sedan,1
9,5,Camaro,LT,Convertible,1
10,6,A6,3.0T Prestige quattro,Sedan,1
11,1,Optima,LX,Sedan,1
12,7,Fusion,SE,Sedan,1
13,6,Q5,2.0T Premium Plus quattro,SUV,1
14,5,Camaro,LS,Coupe,1
15,2,6 Series,650i,Convertible,1
16,2,5 Series,528i,Sedan,1
17,6,A3,1.8 TFSI Premium,Sedan,1
18,3,XC70,T6,Wagon,1
19,5,Camaro,LT,Coupe,1
20,6,SQ5,3.0T Premium Plus quattro,SUV,1
21,6,S5,Premium Plus quattro,Coupe,1
22,5,Suburban,LTZ,SUV,1
23,8,ELR,Base,Coupe,1
24,3,V60,T5,Wagon,1
25,2,X6,xDrive35i,SUV,1
26,5,Cruze,2LT,Sedan,1
27,9,ILX,Technology Package,Sedan,1
28,1,K900,Luxury,Sedan,1
29,5,Malibu,LT,Sedan,1
30,10,RX 350,Base,SUV,1
31,4,Versa,1.6 SL,Sedan,2
32,11,Elantra,SE,Sedan,1
33,4,Versa Note,1.6 SV,Hatchback,1
34,6,A8,L 3.0T quattro,Sedan,1
35,2,X1,sDrive28i,SUV,1
36,12,Enclave,Leather Group,SUV,1
37,6,TTS,quattro,Coupe,1
38,2,4 Series,428i SULEV,Coupe,1
39,9,MDX,Advance and Entertainment Packages,SUV,1
40,5,Silverado 1500,LT,Crew Cab,1
41,5,Camaro,LS,Coupe,2
42,2,5 Series,535d,Sedan,1
43,8,SRX,Luxury,SUV,1
44,2,X5,xDrive35i,SUV,1
45,9,ILX,Base,Sedan,1
46,13,G Coupe,G37 Sport,G Coupe,1
47,13,G Sedan,G37 Journey,G Sedan,1
48,13,FX,FX37,SUV,1
49,11,Santa Fe,Limited,SUV,1
50,11,Genesis,5.0 R-Spec,Sedan,1
51,11,Equus,Signature,Sedan,1
52,11,Elantra,GLS,Sedan,1
53,11,Sonata,GLS,Sedan,1
54,11,Elantra,GLS,Sedan,2
55,11,Sonata Hybrid,Limited,Sedan,1
56,11,Santa Fe,Sport,SUV,1
57,11,Sonata,Limited,Sedan,1
58,11,Elantra,Limited,Sedan,1
59,11,Santa Fe,Sport 2.0T,SUV,1
60,11,Accent,GLS,Sedan,1
61,11,Veloster,Turbo,Hatchback,1
62,11,Elantra Coupe,SE,Elantra Coupe,1
63,11,Accent,GS,Hatchback,1
64,11,Azera,Base,Sedan,1
65,11,Sonata Hybrid,Base,Sedan,1
66,11,Tucson,GLS,SUV,1
67,11,Equus,Ultimate,Sedan,1
68,11,Accent,SE,Hatchback,1
69,11,Genesis,3.8,Sedan,1
70,11,Elantra Coupe,GS,Elantra Coupe,1
71,11,Veloster,Base,Hatchback,1
72,11,Genesis Coupe,3.8 Track,Genesis Coupe,1
73,11,Accent,GS,Hatchback,2
74,11,Tucson,Limited,SUV,1
75,11,Sonata,SE,Sedan,1
76,14,Wrangler,Unlimited Rubicon,SUV,2
77,1,Optima,EX Hybrid,Sedan,1
78,4,Altima,2.5,Sedan,1
79,15,S-Class,S550,Sedan,1
80,10,GS 350,Base,Sedan,1
81,16,Outlander,SE,SUV,1
82,1,Optima,SX,Sedan,1
83,14,Wrangler,Unlimited Sahara,SUV,1
84,17,Mazda2,Sport,Hatchback,1
85,1,Rio,LX,Sedan,1
86,15,C-Class,C250 Sport,Sedan,1
87,17,Mazda2,Touring,Hatchback,1
88,4,370Z,Base,Convertible,1
89,1,Soul,Base,Wagon,2
90,16,Outlander Sport,LE,SUV,1
