mod_id,mod_mrc_id,model,trim,body,mod_trm_id
1,1,Impala,LTZ,Sedan,1
2,2,Optima,SX,Sedan,1
3,3,E-Class,E350,Sedan,1
4,4,Civic,LX,Sedan,1
5,5,Mustang,GT,Coupe,1
6,3,GLK-Class,GLK350,SUV,1
7,5,Fusion,SE,Sedan,1
8,6,Sonata,LX,Sedan,1
9,3,E-Class,E350 Sport,Sedan,1
10,1,Tahoe,LTZ,SUV,1
11,1,Suburban,LT,SUV,1
12,7,300,C,Sedan,1
13,8,tC,Base,Hatchback,2
14,1,Impala,LT Fleet,Sedan,1
15,7,Town and Country,Touring,Minivan,1
16,1,Aveo,1LT,Sedan,1
17,9,Journey,Limited,SUV,1
18,6,Genesis,3.8,Sedan,1
19,1,Cobalt,LT,Sedan,1
20,1,Suburban,1500 LS,SUV,1
21,1,Tahoe,LT,SUV,1
22,5,F-150,XLT,SuperCrew,1
23,5,Expedition,XLT,SUV,1
24,5,Mustang,GT Premium,Coupe,1
25,5,Mustang,GT,Coupe,2
26,4,Civic,EX,Sedan,1
27,10,4Runner,Limited,SUV,1
28,11,Jetta,2.5,Sedan,1
29,6,Elantra,SE,Sedan,1
30,1,Tahoe,LS,SUV,1
31,1,Aveo,Base,Sedan,1
32,7,PT Cruiser,Touring Edition,Wagon,1
33,12,Quest,3.5 S,Minivan,1
34,13,7 Series,745i,Sedan,1
35,3,SL-Class,SL500,Convertible,1
36,14,Rendezvous,CX,SUV,1
37,14,Century,Limited,Sedan,1
38,5,Windstar,LX Standard,Minivan,1
39,3,E-Class,E63 AMG 4MATIC,Sedan,1
40,12,370Z,Base,Coupe,2
41,12,Altima,2.5 S,Sedan,1
42,15,Outlander,GT,SUV,1
43,1,Equinox,LTZ,SUV,1
44,9,Avenger,SXT,Sedan,1
45,9,Journey,Crew,SUV,1
46,5,C-Max Hybrid,SEL,Wagon,1
47,5,Explorer,Sport,SUV,1
48,5,Focus,SE,Sedan,1
49,16,CTS,Luxury,Sedan,1
50,5,Taurus,SE,Sedan,1
51,6,Veloster,Base,Hatchback,2
52,12,Juke,S,Hatchback,1
53,10,Tacoma,PreRunner V6,Double Cab,1
54,5,Expedition,EL King Ranch,SUV,1
55,4,Accord,LX,Sedan,1
56,4,Civic,HF,Sedan,1
57,17,M,M37x,Sedan,1
58,12,Sentra,2.0 SL,Sedan,1
59,12,Versa,1.8 S,Hatchback,1
60,5,F-150,XL,Regular Cab,1
61,5,Thunderbird,Premium,Convertible,1
62,1,Silverado 1500,LT,Extended Cab,1
63,3,S-Class,S550,Sedan,1
64,1,Malibu,LT,Sedan,1
65,10,Highlander,Base,SUV,1
66,1,Malibu,LTZ,Sedan,1
67,1,Traverse,LTZ,SUV,1
68,7,300,S,Sedan,1
69,17,M35,x,Sedan,1
70,18,A4,2.0T,Sedan,1
71,10,RAV4,Base,SUV,1
72,5,Escape,SE,SUV,1
73,1,Astro Cargo,Base,Minivan,1
74,1,Silverado 2500HD,LS,Extended Cab,1
75,1,Malibu,LS,Sedan,1
76,5,Focus,SE,Hatchback,1
77,5,Fusion Hybrid,SE,Sedan,1
78,19,Acadia,SLT-1,SUV,1
79,5,Edge,SE,SUV,1
80,5,Fiesta,SE,Sedan,1
81,12,Altima,2.5,Sedan,1
82,5,Edge,SEL,SUV,1
83,20,XK,Base,Convertible,1
84,12,Altima,2.5 S,Coupe,1
85,18,Q7,3.0T S line Prestige quattro,SUV,1
86,1,Impala Limited,LT Fleet,Sedan,1
87,1,Impala Limited,LS Fleet,Sedan,1
88,2,Optima,LX,Sedan,1
89,4,Accord,EX-L,Coupe,1
90,4,Accord,EX-L,Sedan,1
91,12,Altima Hybrid,Base,Sedan,1
92,12,Maxima,3.5 SV,Sedan,1
93,1,Impala Limited,LTZ Fleet,Sedan,1
94,16,STS,V6,Sedan,1
95,1,Cobalt,LS,Sedan,2
96,1,Silverado 1500,LT,Crew Cab,1
97,12,Altima,2.5 SL,Sedan,1
98,10,Celica,GT,Hatchback,1
99,19,Yukon,Denali,SUV,1
100,5,Fiesta,S,Sedan,1
101,12,Maxima,3.5 S,Sedan,1
102,1,Cruze,2LT,Sedan,1
103,21,Wrangler,Sport,SUV,2
104,1,Malibu Hybrid,Base,Sedan,1
105,9,Ram Pickup 1500,ST,Quad Cab,1
106,7,Sebring,Base,Sedan,1
107,1,Equinox,LT,SUV,1
108,4,Accord,Value Package,Sedan,2
109,9,Journey,SXT,SUV,1
110,11,Passat,GLS 1.8T,Sedan,1
111,3,E-Class,E350 Luxury,Sedan,1
112,9,Ram Pickup 1500,Laramie,Quad Cab,1
113,22,VUE,Base,SUV,2
114,9,Dart,SXT,Sedan,1
115,23,Outback,2.5i Premium PZEV,Wagon,1
116,9,Grand Caravan,SXT,Minivan,1
117,17,JX,JX35,SUV,1
118,3,C-Class,C300 Sport 4MATIC,Sedan,1
119,13,6 Series,650i,Coupe,1
120,4,Accord,SE,Sedan,1
121,12,Altima,3.5 SR,Coupe,2
122,15,Lancer,ES,Sedan,1
123,7,Crossfire,Limited,Convertible,2
124,1,Malibu,Base,Sedan,1
125,17,G Sedan,G37 Journey,G Sedan,1
126,15,Eclipse,GS,Hatchback,1
127,4,Pilot,Touring,SUV,1
128,1,Sonic,LT,Hatchback,1
129,17,G Sedan,G37x,G Sedan,1
130,3,S-Class,S430,Sedan,1
131,3,C-Class,C230,Sedan,1
132,9,Stratus,R/T,Coupe,1
133,5,E-Series Wagon,E-350 Super Duty XLT,Van,1
134,23,Forester,2.5i Premium PZEV,SUV,1
